Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7048687253295345,0.030389430454170228,0.6469734018824443,0.7646298104494883,83
T2,2,0.5996722498873119,0.6023872842256833,0.03159280382317293,0.5459717608803801,0.6675098118062317,88
T3,3,0.5483652974870074,0.5506177346828396,0.02130982702325919,0.505757114735388,0.5999114847755856,94
T4,4,0.605316344479716,0.6013682207392108,0.020915892877734554,0.5302265442390846,0.6341770871875143,108
T5,5,0.6147036657652242,0.6149098811064347,0.012676077379883395,0.5859682112361064,0.6406303138747387,114
T6,6,0.6040326038981523,0.6039467331948475,0.005793675077855553,0.5868920859376362,0.6152204133221992,117
T7,7,0.5912731509497423,0.5908021881983393,0.006920116339234535,0.5737170762837585,0.6010106247489276,119
T8,8,0.5715484442456843,0.5708976830482366,0.006686517421783019,0.5556972708737983,0.582529519398153,119
T9,9,0.5572243450269259,0.5580679982796833,0.003559549484254114,0.5524263648316713,0.5661177805460633,119
T10,10,0.5484818288256263,0.5482841700257437,0.004561302390686382,0.5383104022896933,0.5563905393823758,118
T11,11,0.5329243189801602,0.5321205593764827,0.005225881363368381,0.5218934625512169,0.5439330021092573,120
T12,12,0.527075722177628,0.5265746201202102,0.0032787077148758686,0.5201715516089219,0.5342459935511625,119
T13,13,0.5221674273277714,0.5228031008338634,0.003400350249985252,0.5161411807755524,0.5324346084355248,120
T14,14,0.5214862347664216,0.521589931504943,0.0019676957588956297,0.5172552437329481,0.5262723481481086,117
T15,15,0.5212716356445009,0.5216883275461198,0.0025457226182119454,0.5171992819165848,0.5278410435898423,119
T16,16,0.5185540856253871,0.5185753725432309,0.0027132806127797273,0.5125378565432805,0.5235332788600009,119
T17,17,0.5193676597944428,0.5195722908973348,0.004925986220169706,0.5094570248626177,0.5308321532756018,117
T18,18,0.5224316136386785,0.5224905803176979,0.004548786767376559,0.5128314519591357,0.5310019026299545,119
T19,19,0.5208425374667432,0.5202241844700577,0.004630837890718974,0.5114014075752982,0.5296507622243264,117
T20,20,0.5167210982210283,0.5173321736081866,0.0037632425161021276,0.508236189365441,0.5260607250315305,117
T21,21,0.515116059344509,0.5153352082718833,0.005116067341865224,0.5040677757512743,0.5267803418597087,116
T22,22,0.5122859508796355,0.5133795081453414,0.006784785281887803,0.49919587956303885,0.5303929603204169,116
T23,23,0.505775447925042,0.5083924559830895,0.00908203267076332,0.49275252302008304,0.5282424221596881,112
T24,24,0.5163258685835166,0.5153900286561961,0.00828906390204841,0.49833262010314366,0.5311166098435416,113
