Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7049361485327993,0.03029529500451692,0.6469734018824443,0.7646298104494883,83
T2,2,0.5985503889735899,0.6021497336971069,0.031061468158429056,0.5408991966292671,0.6675098118062317,88
T3,3,0.5463481475060131,0.5473868089288467,0.01720845237656686,0.5122880852015255,0.5897975075427553,92
T4,4,0.5960354338091101,0.5933329563325371,0.02122608926894878,0.5177920048386863,0.6344146976445215,107
T5,5,0.6144432771057299,0.6156087261544123,0.010227266437280938,0.5899807872642768,0.639950254786976,113
T6,6,0.6093899476648317,0.6086524038205693,0.006266630997157047,0.5918282738372787,0.6211163517087407,119
T7,7,0.592787413128894,0.5925714696749362,0.006425290430886196,0.5783403515685724,0.6062374693533888,117
T8,8,0.5720933900289612,0.571803437332821,0.005277183359584145,0.5613341927329488,0.5809495977926182,119
T9,9,0.560079258122598,0.5601167979034056,0.0025429108062551397,0.554584804726034,0.5653945470312387,120
T10,10,0.5486077682019179,0.5489655216762539,0.004076394864489822,0.5412293146239172,0.5587429534237119,119
T11,11,0.5350228272452896,0.5359672685703011,0.004096858759114192,0.5282114322127986,0.5465543873352985,118
T12,12,0.5295869695321196,0.5291305642292398,0.0026680501398965058,0.5230468926408005,0.5347962149075767,119
T13,13,0.5260603210064474,0.5258595573012491,0.0020702294474246588,0.5207663653085041,0.5312335497911329,120
T14,14,0.5255960645753107,0.5258375341122077,0.0030301958529371374,0.519253742764128,0.5313670018446722,117
T15,15,0.5268130784199784,0.5258943178627672,0.003864314578151447,0.5174148509771667,0.5331337916756683,119
T16,16,0.523859319165624,0.5243641465301161,0.004766824166057459,0.5159589696204222,0.5344715617147958,120
T17,17,0.5246665989549637,0.5242409718928562,0.003352589922689569,0.5159304083971722,0.5314785348632834,117
T18,18,0.5281849967643009,0.5287341956229858,0.003621392914753464,0.5212194596856106,0.5370148501134643,118
T19,19,0.528023410456558,0.5283399844591844,0.0051994790354768766,0.5152716055267572,0.5396054324073704,118
T20,20,0.5221734313029744,0.5241118910825838,0.007311664644030767,0.509748464277967,0.5393000092923282,116
T21,21,0.520983271011844,0.5209622627631512,0.00605228129209964,0.5069583957050393,0.5315356346639418,116
T22,22,0.5265616699262622,0.5266375432707744,0.006428463016561761,0.5119157272988725,0.544536944735033,115
T23,23,0.5232609296494498,0.521994855727478,0.008006689489195019,0.4991085578037168,0.5335155835387633,113
T24,24,0.5196376292071904,0.5182368113772241,0.010944340999928888,0.49494401335549043,0.545544994908579,111
