Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
T9,9,539.0436255308238,0.5426106073301826,3428,1860.0691619278662
T10,10,541.0508065814671,0.5408246263695071,3429,1854.48764382104
T10,10,543.0896662589623,0.5414084212821754,3446,1865.6934197383762
T10,10,545.1058816437516,0.5421207699414736,3467,1879.5327093870892
T10,10,547.1243869440463,0.5416044068702113,3486,1888.0329623495563
T10,10,549.1390157641409,0.5416348066787917,3502,1896.8050929891285
T10,10,551.1591349834155,0.5406754273791723,3520,1903.1775043746864
T10,10,553.1616267006473,0.5393392359279525,3544,1911.4182521286637
T10,10,555.1929770860697,0.5386512265668916,3551,1912.7505055390318
T10,10,557.1972265663159,0.5382693000522304,3579,1926.4658248869328
T10,10,559.2235954857538,0.538335788300198,3596,1935.8554947275122
T10,10,561.2470459113105,0.5372563930571345,3617,1943.2563736876552
T10,10,563.2600787348706,0.5372168230340236,3624,1946.8737666753016
T10,10,565.2708367515183,0.5368455787223068,3642,1955.1915977066412
T10,10,567.294669185206,0.5357162030246906,3663,1962.3284516794417
T10,10,569.2994903976149,0.5343174220460865,3672,1962.0135737532294
T10,10,571.3262681329451,0.5337120961249372,3695,1972.0661951816428
T10,10,573.3489775946454,0.5312273763630062,3707,1969.259884177664
T10,10,575.3520302143742,0.5314713483483391,3724,1979.1993012492146
T10,10,577.3740518959455,0.5292053867386052,3736,1977.111324855429
T10,10,579.390037957146,0.5293039491276017,3751,1985.419113177634
T10,10,581.3999493898959,0.5296829610092356,3774,1999.0234948488553
T10,10,583.4080296318348,0.52962031047266,3793,2008.8498376227994
T10,10,585.415448961165,0.5311861726983675,3811,2024.3505041534786
T10,10,587.4249749504191,0.5315760943483856,3836,2039.1258979204072
T10,10,589.4851469970633,0.5314607399907346,3855,2048.7811526642818
T10,10,591.4945480971375,0.5312563237769927,3875,2058.618254635847
T10,10,593.5343611744,0.5306353438728518,3896,2067.3552997286306
T10,10,595.5552623986562,0.5304056053814004,3902,2069.6426721982243
