Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7049361485327993,0.03029529500451692,0.6469734018824443,0.7646298104494883,83
T2,2,0.5986863473657232,0.5996764479679914,0.03444333923390076,0.532777297032987,0.6675098118062317,88
T3,3,0.5179696928642895,0.5150750776070608,0.01704965321282926,0.46568907079294997,0.5519270866004273,91
T4,4,0.5609731753256119,0.559499400609099,0.03036832636068107,0.46912339278606396,0.606553983246784,105
T5,5,0.6044052847832636,0.604122394057094,0.00847926734944044,0.5761025526925531,0.6207227533163343,115
T6,6,0.5946802126115895,0.592928838416091,0.00996797999585102,0.5709962701058621,0.6069920141765516,118
T7,7,0.5711445192469189,0.5686207020179769,0.007349434455388767,0.5521054908140474,0.579188614360952,118
T8,8,0.5432013530511376,0.542522815102563,0.007731880729495518,0.5258541602674108,0.5568034422818006,119
T9,9,0.5210470139655337,0.5220841623080508,0.004478338410140493,0.5139066128896255,0.531687142830373,119
T10,10,0.5057815406814605,0.5051006148517778,0.0073084934086854025,0.4919777980644006,0.5169674514837083,120
T11,11,0.48468368731452144,0.4847775117398532,0.006197440035036981,0.47376153283467026,0.49577677922907176,119
T12,12,0.47291362935572245,0.4720843913371854,0.0033980080373944483,0.4652476641118499,0.47967634170281,118
T13,13,0.4636809609449495,0.4636991983164234,0.0032916970864784573,0.45606312976159813,0.47156101545047285,119
T14,14,0.4577307184914191,0.4580404461247851,0.0026365606918900926,0.4525529867734633,0.46439833533939595,119
T15,15,0.45494601811244983,0.45461445515078197,0.0026028853352395524,0.44775763110286154,0.46167036952192836,119
T16,16,0.44866208497575844,0.4484311448898472,0.0036011581024862514,0.4385750246614404,0.456028159422962,118
T17,17,0.44875711143754377,0.4479277790131278,0.0036526511747784524,0.4383048710671634,0.45386907868891524,119
T18,18,0.449135860990658,0.44913990142763904,0.004230924825211639,0.4380782190287762,0.4583070473119122,117
T19,19,0.4450343286266575,0.44477771203244326,0.0024228438784137146,0.4382667637641583,0.44925239881609336,119
T20,20,0.43843232078117006,0.4396350637991416,0.004549825971250786,0.4299122834506399,0.44986357202248095,116
T21,21,0.43527936069287204,0.43562483173638783,0.004724648175988039,0.42632661691221624,0.44880653207752963,115
T22,22,0.42612510398034353,0.42596485814847074,0.0061899148197165094,0.41164468789974146,0.43795203749878703,117
T23,23,0.4219624256689779,0.4215731930129321,0.007455187959839356,0.4047924659237833,0.43582431742254707,115
T24,24,0.41728495198947685,0.41739610210227907,0.007818352348462313,0.40445298873375696,0.4383274408438238,113
