Hour,Hour_Number,Time_Range,Sample_Count,Mean_Queue_Time,Median_Queue_Time,Std_Queue_Time,Q1_Queue_Time,Q3_Queue_Time,Mean_Active_Drivers,Std_Active_Drivers
T1,1,00:00-01:00,0,0.0,0.0,0.0,0.0,0.0,22.1,9.93931587182941
T2,2,01:00-02:00,0,0.0,0.0,0.0,0.0,0.0,53.69565217391305,7.5839348660790895
T3,3,02:00-03:00,0,0.0,0.0,0.0,0.0,0.0,75.5909090909091,5.399150530063132
T4,4,03:00-04:00,0,0.0,0.0,0.0,0.0,0.0,124.56521739130434,24.35752912248574
T5,5,04:00-05:00,2,18.331440938038128,18.331440938038128,7.825155504578191,14.418863185749032,22.244018690327223,294.8333333333333,77.54228237262271
T6,6,05:00-06:00,12,28.039914586961036,19.70868024220559,26.155912305071976,10.704777467088817,35.340361619651816,687.9166666666666,153.2981617270373
T7,7,06:00-07:00,71,77.42829669054173,32.33807467913482,100.9564136824384,13.693937402818477,76.23336079439255,1343.2916666666667,226.57862490510638
T8,8,07:00-08:00,203,64.76321536394447,22.275443651293642,103.27738852177235,9.810526829967614,63.26064888859466,2162.2916666666665,241.4307145550366
T9,9,08:00-09:00,425,50.19708662302582,20.61420820323167,84.01778378640495,9.797601771655934,39.89301346307917,2992.875,234.34150871822374
T10,10,09:00-10:00,579,44.40067351327379,19.054748192860757,77.23133065338084,8.78233340563338,37.06292740446412,3696.1666666666665,169.065979888195
T11,11,10:00-11:00,812,37.179812018772,18.148098271313415,64.07221555894574,6.995216697015508,35.9556104622861,4060.9166666666665,52.5483243204661
T12,12,11:00-12:00,793,38.158036258193306,20.084138435712703,64.09005335938487,8.382171296385081,36.87244908591754,4088.0,37.22342452452935
T13,13,12:00-13:00,790,34.751260627133064,18.452650898331854,56.24918671017263,6.760579438671527,37.79649358144246,3914.0,85.28383981349182
T14,14,13:00-14:00,677,39.921520791468225,18.4275700348594,67.64257603217672,7.77611472449189,35.364976920993286,3628.0833333333335,100.53105517975804
T15,15,14:00-15:00,588,41.18025170489811,16.9528277012256,72.2645614572535,7.75331568231087,39.20240580437667,3269.25,111.88545109470965
T16,16,15:00-16:00,461,34.723019950538486,18.3060859360603,57.213283183548334,9.530065752913742,36.665755050286066,2884.0416666666665,123.39451607434675
T17,17,16:00-17:00,342,36.81286539071555,17.160984240219477,57.391771555919576,7.744205322300786,37.11291160108149,2499.2083333333335,109.55515322075097
T18,18,17:00-18:00,279,37.63976787082163,18.80392003294628,57.58081367324354,7.976655356689321,40.488550205573915,2180.1666666666665,96.38752800832458
T19,19,18:00-19:00,197,41.12264948439862,17.821701411049162,60.14833111041764,8.611626831072726,44.33150980406458,1862.7916666666667,100.50123513613596
T20,20,19:00-20:00,136,36.098148464290155,19.82864635055239,49.36403263161757,7.313617957289978,41.396479662593265,1557.7916666666667,87.87916854345453
T21,21,20:00-21:00,107,30.467374223755023,20.792953547258094,32.65780355611019,7.2616887516221595,40.182357206244774,1264.0416666666667,82.26809789071068
T22,22,21:00-22:00,68,32.995939788183584,21.597949356992217,35.897660971833055,8.861149807640857,41.13002602825162,1001.0833333333334,74.24897118628797
T23,23,22:00-23:00,26,28.56835184328554,25.83380937381014,21.823544400909558,9.311884248708111,38.17629641621471,775.0833333333334,60.96236316139838
T24,24,23:00-24:00,12,15.906552872751623,12.772796984083698,15.356496760265847,2.8320939818914326,20.49344837022045,600.75,42.685135976512164
