Run,Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
1,T1,1,3.2373971570789526,0.7535023277627761,3,2.2605069832883284
1,T1,1,5.9958915783827464,0.760326453359448,5,3.80163226679724
1,T1,1,9.136433675450487,0.7490654150341051,7,5.243457905238736
1,T1,1,11.634473628096812,0.7453877282766151,9,6.708489554489536
1,T1,1,15.302188593527882,0.7338740324424894,11,8.072614356867383
1,T1,1,18.236052074212147,0.7384070101443732,13,9.599291131876852
1,T1,1,20.95084847464932,0.7433629263255376,15,11.150443894883063
1,T1,1,23.75588599914341,0.7329363895663445,17,12.459918622627857
1,T1,1,25.90074362599853,0.7360853707193253,18,13.249536672947857
1,T1,1,28.0775309847302,0.726031622101246,20,14.52063244202492
1,T1,1,31.537271225514147,0.7129853567903731,22,15.68567784938821
1,T1,1,34.39308381391939,0.7135667738815704,24,17.12560257315769
1,T1,1,37.42990491802445,0.7022224386625978,26,18.257783405227542
1,T1,1,40.24952249964573,0.7068297133035983,28,19.791231972500753
1,T1,1,42.38005554299259,0.6954170260243182,29,20.167093754705228
1,T1,1,44.759776005231814,0.6930284083239627,31,21.483880658042846
1,T1,1,47.74690293360392,0.6928493079672222,33,22.864027162918333
1,T1,1,50.810803453131435,0.6894810783130566,35,24.131837740956982
1,T1,1,54.303820178096316,0.6807063709387825,37,25.186135724734953
1,T1,1,57.1280649266392,0.6741738083183266,39,26.29277852441474
1,T1,1,59.741158613216655,0.6697637854632932,40,26.790551418531727
1,T2,2,61.74468026720855,0.6665761160768716,40,26.663044643074866
1,T2,2,64.39349578798814,0.6488953339972792,42,27.253604027885725
1,T2,2,66.44386371350684,0.6438122817918956,43,27.683928117051515
1,T2,2,68.47448635192423,0.6418805962995402,44,28.24274623717977
1,T2,2,70.97873283462474,0.6342633719293597,45,28.541851736821183
1,T2,2,72.99858890046391,0.6274470511538134,46,28.862564353075413
1,T2,2,75.51883043532754,0.626388749877321,48,30.066659994111408
1,T2,2,77.97727485104511,0.615364474518827,48,29.5374947769037
1,T2,2,80.47587889521972,0.6173123245284691,50,30.86561622642345
1,T2,2,83.99082090053939,0.6143741611968856,52,31.947456382238048
1,T2,2,86.52554468213879,0.6087063282090767,53,32.261435395081065
1,T2,2,89.78946317978419,0.5903397996931906,54,31.87834918343229
1,T2,2,93.20320084500712,0.5928888561905626,56,33.20177594667151
1,T2,2,95.88278965562296,0.5835088302399775,58,33.843512153918695
1,T2,2,99.58835835338402,0.5730057774325483,59,33.80734086852035
1,T2,2,102.42904409165152,0.5718854989153941,60,34.313129934923644
1,T2,2,105.22420630651453,0.5721534829140452,60,34.329208974842714
1,T2,2,107.56217176919367,0.5649102046671605,62,35.02443268936395
1,T2,2,109.91508849751678,0.5612104180189851,63,35.35625633519606
1,T2,2,112.62435422457908,0.5624023243990949,63,35.43134643714298
1,T2,2,114.89398677325507,0.5621450752419124,64,35.97728481548239
1,T2,2,118.03883707233223,0.5449813632854874,65,35.42378861355668
1,T3,3,120.20600072225592,0.5384813822466906,65,35.001289846034894
1,T3,3,122.38523580941339,0.5380422095742237,66,35.510785831898765
1,T3,3,124.83621121918101,0.5429781856251403,67,36.3795384368844
1,T3,3,127.19572449050101,0.5326863679616431,67,35.68998665343009
1,T3,3,129.85998039177264,0.5286450733634446,68,35.94786498871423
1,T3,3,132.58432240506644,0.5331656669236093,70,37.321596684652654
1,T3,3,135.5868202679753,0.5398414009522748,70,37.788898066659236
1,T3,3,138.04499077640082,0.5426577180716431,72,39.0713557011583
