Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7048687253295345,0.030389430454170228,0.6469734018824443,0.7646298104494883,83
T2,2,0.5996722498873119,0.6023872842256833,0.03159280382317293,0.5459717608803801,0.6675098118062317,88
T3,3,0.548021297331672,0.5494138615481365,0.020759003841224154,0.505757114735388,0.5999114847755856,94
T4,4,0.6050999483894571,0.6002856157328321,0.02087867420141025,0.5302265442390846,0.6314210081888766,108
T5,5,0.6148575839217468,0.6149187209716149,0.012178822681582761,0.5868380489716716,0.6406303138747387,114
T6,6,0.6038503628102343,0.603246817315294,0.005864177406169244,0.5880471671175812,0.6142732533975864,117
T7,7,0.5900388422196245,0.5892308052365017,0.006520574237266891,0.5747986709658919,0.5991012240071053,119
T8,8,0.5721756078684042,0.5712651470161305,0.0058638668430710085,0.5584983653807108,0.5807875637034035,118
T9,9,0.558591351733455,0.5576697472535109,0.004366276791586302,0.547640543728952,0.5644454014874144,119
T10,10,0.5436451856180051,0.5441270930191695,0.004943489655908453,0.532470775657857,0.5536709834077421,119
T11,11,0.5311398462269757,0.5308395919997568,0.003966845634575308,0.520671415857345,0.5401739542615851,120
T12,12,0.5196015690391851,0.5207070803747592,0.003834660893317595,0.515350685586233,0.5317042690521577,118
T13,13,0.5159705078316704,0.5160325890206918,0.0034337662209223165,0.507466205402935,0.5235492395745395,119
T14,14,0.5160522772043227,0.5159750518710527,0.0024300278692574832,0.5092892615074567,0.5211142141031267,119
T15,15,0.5156381340006043,0.5155859508578857,0.00288695823326507,0.5096932727285012,0.5217569250741015,119
T16,16,0.5131602415752983,0.5131138684722991,0.0033471632093913413,0.5055488886353604,0.5198451929343111,117
T17,17,0.5126607993599122,0.5121966601890952,0.003918582918963114,0.5052507213631952,0.518841366671232,120
T18,18,0.5117821530991972,0.5117342029675981,0.0031350240650649076,0.5063725174022445,0.5177438588603523,118
T19,19,0.5103252611493323,0.510002126066311,0.004296661912059871,0.49940079143555677,0.5195083119099174,118
T20,20,0.5023046105711757,0.5018384748394825,0.0034343294729758745,0.49394958829949764,0.510409012270803,116
T21,21,0.5038629264717362,0.5025733854914649,0.005240321367668086,0.4895610545829506,0.516544566201007,116
T22,22,0.4972972887737551,0.4980164356351957,0.007294813978761676,0.4859828401191587,0.5209069238544667,116
T23,23,0.49454041430093676,0.4954340764438071,0.009153111618405046,0.4767371788482674,0.5218946984588191,112
T24,24,0.49059471761210505,0.48960817178835964,0.007116802486022277,0.47215946179581103,0.5023546697969337,113
