Hour,Hour_Number,Time_Range,Sample_Count,Mean_Queue_Time,Median_Queue_Time,Std_Queue_Time,Q1_Queue_Time,Q3_Queue_Time,Mean_Active_Drivers,Std_Active_Drivers
T1,1,00:00-01:00,0,0.0,0.0,0.0,0.0,0.0,22.1,9.93931587182941
T2,2,01:00-02:00,0,0.0,0.0,0.0,0.0,0.0,53.69565217391305,7.5839348660790895
T3,3,02:00-03:00,1,7.147306601321759,7.147306601321759,0.0,7.147306601321759,7.147306601321759,75.52173913043478,5.8893386741554945
T4,4,03:00-04:00,1,5.111908689402071,5.111908689402071,0.0,5.111908689402071,5.111908689402071,127.82608695652173,24.34650617540349
T5,5,04:00-05:00,0,0.0,0.0,0.0,0.0,0.0,301.2173913043478,77.07137094460992
T6,6,05:00-06:00,7,4.2748076522824885,4.874798849419278,3.3669147750067068,1.2986707013869818,5.955391976825069,687.75,151.79845464738213
T7,7,06:00-07:00,46,14.61353156403923,10.46857611962244,13.900079433979752,6.537563199198303,18.70025072153736,1341.875,232.16056090918343
T8,8,07:00-08:00,125,20.11308918174158,18.799806332541948,14.121063851179992,8.868908974054307,26.74439700088385,2160.8333333333335,239.45783669689234
T9,9,08:00-09:00,322,21.060392370983678,18.414516883210183,16.42622321749745,8.225251313997177,29.742332577794684,3007.9166666666665,243.74438739976947
T10,10,09:00-10:00,493,26.169232590596742,20.516553584461917,30.488390815071348,9.463025340270974,34.984085760976996,3751.4583333333335,180.52838631054365
T11,11,10:00-11:00,681,23.130598262233185,18.428661143005684,21.382426393750315,7.94407461257606,31.497473830087642,4163.291666666667,56.866421819519786
T12,12,11:00-12:00,782,26.93528574634227,18.48523479805391,38.442393232083504,7.3317734242521055,32.42466346540576,4236.958333333333,24.887210849930312
T13,13,12:00-13:00,731,25.479863161808417,18.329245718080756,28.5023078507428,7.338215799080388,34.73103440751976,4114.041666666667,71.23931450088186
T14,14,13:00-14:00,616,23.503693790820527,16.5890455134969,34.96023236682235,7.030405137969439,29.097439028336197,3851.4166666666665,91.78821486927878
T15,15,14:00-15:00,475,21.987462263375047,16.873648184916647,23.37444027814637,7.660736780761738,30.59502798908443,3510.125,117.41355419342919
T16,16,15:00-16:00,434,25.05715282733267,18.971500083513718,25.450654486283877,8.990506701423357,32.873219823467366,3089.0,136.02083173788736
T17,17,16:00-17:00,343,21.84091984109644,16.53821005856173,28.560629487648168,7.271339800384283,27.18621731876999,2678.625,118.1777659925927
T18,18,17:00-18:00,250,22.138400491863017,16.16569124577029,22.26253228986071,7.190278283163934,29.21890260029963,2315.6666666666665,110.42481102039021
T19,19,18:00-19:00,200,17.6349773550217,12.930699834503912,16.292329364505317,6.868009802319136,24.178446544237204,1965.3333333333333,103.13165803422773
T20,20,19:00-20:00,140,19.085806538355314,14.947989679941998,16.407200317908828,5.846266728686828,26.99798271673916,1632.3333333333333,98.46474270293685
T21,21,20:00-21:00,91,17.181861119010936,12.923055794876973,15.325782836969305,6.459420017772686,22.89677993700252,1303.3333333333333,92.14963676301474
T22,22,21:00-22:00,57,15.200331852839144,12.350886580989709,11.720982796720618,7.3227922021851555,20.10227471870826,1005.2083333333334,83.33715616231586
T23,23,22:00-23:00,20,10.167266291128044,7.1942059494972455,8.622543303383308,2.674471411849993,17.204096080851286,766.375,62.60046092748306
T24,24,23:00-24:00,9,4.238464863491016,3.5115683387232366,2.5871462874282076,1.3742520631712978,6.31137507065705,581.5416666666666,49.05607265047712
