Hour,Hour_Number,Time_Range,Sample_Count,Mean_Queue_Time,Median_Queue_Time,Std_Queue_Time,Q1_Queue_Time,Q3_Queue_Time,Mean_Active_Drivers,Std_Active_Drivers
T1,1,00:00-01:00,0,0.0,0.0,0.0,0.0,0.0,22.1,9.93931587182941
T2,2,01:00-02:00,0,0.0,0.0,0.0,0.0,0.0,53.69565217391305,7.5839348660790895
T3,3,02:00-03:00,0,0.0,0.0,0.0,0.0,0.0,75.36363636363636,5.29618605950164
T4,4,03:00-04:00,0,0.0,0.0,0.0,0.0,0.0,124.26086956521739,24.351086738189178
T5,5,04:00-05:00,1,3.821406226439933,3.821406226439933,0.0,3.821406226439933,3.821406226439933,294.3333333333333,77.44442451777203
T6,6,05:00-06:00,8,16.456343147794747,6.997325393150788,18.9515883258218,1.6981571644118105,26.092462193649467,687.0833333333334,152.69329734980363
T7,7,06:00-07:00,69,18.575470858086806,9.61236766642321,30.79054078876563,4.548406614468661,19.262586047938782,1345.6666666666667,226.18386080551565
T8,8,07:00-08:00,204,31.029637303838992,16.90896843784435,56.87644824396267,8.93223947380811,28.121828032080174,2150.9166666666665,236.9314100231448
T9,9,08:00-09:00,412,24.72232962690317,17.446882292915916,35.47552597366224,8.949495787755765,29.24193928556072,2976.4583333333335,230.22850590349483
T10,10,09:00-10:00,613,29.8342452622487,17.643424884853403,45.26556680942221,8.925939620050144,32.137473893741344,3663.4583333333335,158.2305752076872
T11,11,10:00-11:00,795,27.796893192453993,17.584164923554567,41.43755014650924,7.797585471266075,30.8539716753466,4008.6666666666665,40.069384267237695
T12,12,11:00-12:00,795,24.04250562146464,16.46793688800176,33.1811690984479,7.0364551165063745,29.89251966848667,4020.0416666666665,42.243815293549844
T13,13,12:00-13:00,709,25.799068390598112,15.988796120264965,42.98547274650457,6.961207720207767,29.98268293663989,3815.2083333333335,87.92372601989875
T14,14,13:00-14:00,609,25.610870752271026,16.72619783191908,35.652251449393255,7.2891761806056365,31.002645194643492,3478.375,113.5472781487958
T15,15,14:00-15:00,506,26.08596174127532,14.095621938801798,44.512649519406445,7.339216740148743,27.157065511509472,3071.0833333333335,125.87358627695576
T16,16,15:00-16:00,415,29.71162912100835,15.291148018904096,48.53983496488058,8.328452014493848,30.3394808081527,2652.125,118.1035253848645
T17,17,16:00-17:00,282,21.548834805142505,13.37166973401105,28.879535884298246,6.406382069479804,24.82197196102146,2256.7083333333335,104.25348881718806
T18,18,17:00-18:00,197,23.832858770474985,13.632627929006503,37.37081771317186,6.3993804943124815,27.482928304241796,1908.5,95.07497041808638
T19,19,18:00-19:00,163,22.68247006758722,13.641461747540234,28.525132085375528,6.5479888490673375,25.707147843921234,1593.4166666666667,93.77273798332268
T20,20,19:00-20:00,105,23.174354755157605,13.864511105524116,34.427515889580334,5.542391306275704,28.349151950493933,1292.125,84.46020389311565
T21,21,20:00-21:00,55,22.501732496713668,8.933254946846091,38.687329323073016,4.919758669355474,15.692066883987309,1012.2083333333334,75.49391761739632
T22,22,21:00-22:00,39,13.372863846345913,9.679048203401635,15.287765990096315,5.114222923977081,15.275201850190342,774.75,62.752323994149144
T23,23,22:00-23:00,16,22.913741103481414,16.61014651338951,18.441626884138607,9.290069194114437,30.331407451632344,573.2083333333334,54.84142227570528
T24,24,23:00-24:00,9,10.13966815555735,6.966913842459007,8.926198531024,3.379271739488786,12.256974228778745,420.0,35.6175335425149
