Hour,Hour_Number,Median_SoC,Mean_SoC,Std_SoC,Min_SoC,Max_SoC,Sample_Count
T1,1,0.7042974546433122,0.7049361485327993,0.03029529500451692,0.6469734018824443,0.7646298104494883,83
T2,2,0.5985503889735899,0.6021497336971069,0.031061468158429056,0.5408991966292671,0.6675098118062317,88
T3,3,0.5457924087483381,0.5461799709513935,0.016037782747918006,0.5122880852015255,0.5846808071476178,92
T4,4,0.5943893066652193,0.5913003376834113,0.020459264399072696,0.5177920048386863,0.6299697064707,107
T5,5,0.614086490272259,0.6145162692393255,0.00996543560183247,0.5895759779568913,0.6362367177120077,113
T6,6,0.6071332679903731,0.6072844228704214,0.0070209572832060285,0.5910139107882838,0.6208750513913499,119
T7,7,0.5904965012527184,0.5901460376781943,0.006829232106884431,0.575640789488678,0.6068277795048852,117
T8,8,0.5709415245962384,0.5695551564436182,0.0061846145065115815,0.5524805840276873,0.5789903676445856,120
T9,9,0.5549751565197788,0.5554862860862468,0.003909667481217822,0.5482182072682469,0.5668294525525335,120
T10,10,0.5438987259264326,0.5444210605117813,0.00397196202321567,0.5356926609552406,0.5525618383290342,118
T11,11,0.5316960668567579,0.5323589314720144,0.004518006433355822,0.5229932591439099,0.5437827066999315,118
T12,12,0.5201313356406781,0.5205137764057944,0.0038458378498394323,0.512002794621787,0.5297597405229197,120
T13,13,0.5192582784855848,0.5192530133016274,0.0030542261963725356,0.5110977924751617,0.5264357216330221,120
T14,14,0.5183664902833242,0.517853144824045,0.004103266158126482,0.5093335114543168,0.5262083337935621,117
T15,15,0.51595590721267,0.515731401005188,0.0042797380588438915,0.5055049580206994,0.5233412686000796,119
T16,16,0.5146966932800565,0.5145052739195712,0.00418767597477539,0.5055224620692819,0.5228447746912223,118
T17,17,0.5159547505371862,0.5165822436951565,0.0037865793517699326,0.5075189994928466,0.5283649611281575,118
T18,18,0.5193686914649003,0.5191634470058476,0.00616815315904394,0.5050184894622788,0.5298990445998006,119
T19,19,0.5167015375782059,0.5175536242591392,0.005318358546018763,0.5065491505593137,0.5298724713119308,117
T20,20,0.5157796400351577,0.5154967273339508,0.007093556875321676,0.49524653180772915,0.531562001139853,116
T21,21,0.512230341801474,0.5117097136439467,0.007479058756323252,0.4955915227565887,0.525865334010267,117
T22,22,0.5123775771443795,0.5112102784923003,0.007285685675652117,0.4952913301294946,0.5258020137936313,114
T23,23,0.5058636904651445,0.506359498153439,0.008455706230109425,0.49020158351166127,0.5298697739569694,113
T24,24,0.5060909673516654,0.5060805086185891,0.006915209600431834,0.49029577079575426,0.5219080293563614,112
