Hour,Hour_Number,Time_Range,Sample_Count,Mean_Queue_Time,Median_Queue_Time,Std_Queue_Time,Q1_Queue_Time,Q3_Queue_Time,Mean_Active_Drivers,Std_Active_Drivers
T1,1,00:00-01:00,0,0.0,0.0,0.0,0.0,0.0,22.1,9.93931587182941
T2,2,01:00-02:00,0,0.0,0.0,0.0,0.0,0.0,53.69565217391305,7.5839348660790895
T3,3,02:00-03:00,1,7.147306601321759,7.147306601321759,0.0,7.147306601321759,7.147306601321759,75.73913043478261,5.862314361976756
T4,4,03:00-04:00,1,5.111908689402071,5.111908689402071,0.0,5.111908689402071,5.111908689402071,127.8695652173913,24.292250236445664
T5,5,04:00-05:00,0,0.0,0.0,0.0,0.0,0.0,301.4347826086956,77.26455179500607
T6,6,05:00-06:00,8,5.26641599866641,4.969491234644067,4.099037753268009,1.3012390853349416,7.728012921391297,688.0,151.72617880027605
T7,7,06:00-07:00,53,18.915570236223708,11.826203124230005,25.076828626435425,6.676804948056258,20.14130393615102,1342.6666666666667,232.01466668199137
T8,8,07:00-08:00,144,25.25593293223052,19.50058443274338,30.659552966791985,9.756849202890947,29.424532489583996,2164.75,242.8883917220692
T9,9,08:00-09:00,336,28.210882231214626,19.881968144713483,44.98402195491866,9.169996908852227,32.21681802033304,3018.4583333333335,248.09742360053284
T10,10,09:00-10:00,510,33.292988863799835,20.77640826746608,51.90311613167024,8.518594756407992,38.62698212963252,3771.625,182.5371680188266
T11,11,10:00-11:00,674,32.049309933909086,21.244575387734983,48.997406419184266,9.112803186195322,37.571453932802115,4193.166666666667,63.59026829808333
T12,12,11:00-12:00,824,34.73662395490527,20.98433534367956,56.05583405458095,7.985312251579728,37.198007699797415,4276.833333333333,26.29427483101386
T13,13,12:00-13:00,767,32.01772303774221,20.689675808826337,51.42438902902577,8.836207120860308,35.30126945571527,4167.041666666667,57.58361975326741
T14,14,13:00-14:00,639,30.79244910923889,20.473892442661054,45.34994697878056,9.761665606459303,37.73274393223096,3911.9583333333335,87.2087912075892
T15,15,14:00-15:00,596,31.44295615504027,19.39204186564143,50.32774475658028,8.36521100895007,34.13795161631333,3572.375,105.77996521868717
T16,16,15:00-16:00,453,30.167586106872236,18.81819910329523,42.10385826296654,8.281966082557005,35.98850198624177,3179.3333333333335,127.67069184255075
T17,17,16:00-17:00,417,26.405723351769343,16.50000732482249,36.57578228209472,6.86221174335401,28.831905575919677,2778.3333333333335,111.45651867681654
T18,18,17:00-18:00,289,27.420888176216412,17.21401540528427,39.65677046204841,7.583988457128044,30.002424644447046,2420.75,102.88717526170758
T19,19,18:00-19:00,236,24.08382140185479,14.970847642458125,30.72020672271603,6.071401662937433,30.421669185254075,2060.9166666666665,103.26540105744787
T20,20,19:00-20:00,178,23.89042159718255,13.509060687530337,30.461844370397117,6.884711677931705,27.693014709051056,1718.5,99.13248710690154
T21,21,20:00-21:00,146,27.49870739407668,15.770041443381956,32.375121636061685,8.960879921275307,32.90871798876702,1392.3333333333333,95.32298894926775
T22,22,21:00-22:00,91,23.83902233006557,15.14418786976762,26.473395736415913,5.604145906932104,33.92575023554798,1095.5,88.21470021109482
T23,23,22:00-23:00,47,19.380131707659917,12.669474853811607,17.070429878050827,5.9518585815412735,31.557743568799538,849.9166666666666,73.28137363765927
T24,24,23:00-24:00,19,11.026475111094106,6.936277637942112,11.99263759444616,2.6977456740401067,11.902725592281968,646.6666666666666,60.483928076436605
